,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
89,89,"The King's School, Chester",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82465/table/33/the-kings-school-chester,Chester,,19.2,60.3,86.3,72=,72.9,96=,Private,"The King's School, Chester, is a British co-educational independent day school for children aged 4 to 18. It is one of the seven 'King's Schools' ...","Wrexham Rd., Chester CH4 7QL","Wrexham Road, Chester, Cheshire, CH4 7QL",53.1677424,-2.898998138,Mixed (4 to 18). Mixed sixth form,,,,,"1,101 (4-18)",www.kingschester.co.uk,"Day K &pound 4,673 (11-18)",,0,0,1,1,4673,14019,1,
90,90,Norwich School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82313/table/33/norwich-school,Norwich,,24,60.3,85.4,76,72.4,99,Private,"City of Norwich School – An Ormiston Academy has served its community for over 100 years, remaining loyal to its historic roots whilst continually regenerating ...","71a The Cl, Norwich NR1 4DD","71a The Close, Norwich, Norfolk, NR1 4DD",52.6318957,1.299052913,Mixed (4 to 18). Mixed sixth form,"GBP 12,789–18,855","GBP 17,000",Excellent,Co-educational,888 (11-18),www.norwich-school.org.uk,"Day K &pound 5,990 (11-18)",,0,0,1,1,5990,17970,1,
91,91,Dame Alice Owen's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83742/table/34/dame-alice-owens-school,Potters Bar,Partially selective (37.5%),28.1,60.1,84.1,23,68.9,56,State,,"Dugdale Hill Ln, Potters Bar EN6 2DU","Dugdale Hill Lane, Potters Bar, Hertfordshire, EN6 2DU",51.6891898,-0.205834445,Mixed (11 to 18). Mixed sixth form,,,,,"1,449",www.damealiceowens.herts.sch.uk,,,0,0,1,1,0,0,1,
92,92,Notting Hill and Ealing High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82585/table/33/notting-hill-and-ealing-high-school-gdst,Ealing,,23,60,87.9,57,90.4,31,Private,,"2 Cleveland Rd, London W13 8AX","2 Cleveland Road, Ealing, Ealing, W13 8AX",51.47109115,-0.250013522,Girls (4 to 18),,,,,907 (4-18),www.nhehs.gdst.net,"Day K &pound 6,404 - K &pound 6,593 (11-18)",,0,1,0,0,6593,19779,1,
93,93,Hockerill Anglo-European College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83713/table/34/hockerill-anglo-european-college,Bishop's Stortford,Partially selective (10%),19.9,59.9,87.5,12,54.3,123=,State,Hockerill Anglo-European College (formerly known as Hockerill School) is an international state boarding school with academy status located in Bishop's ...,"Dunmow Rd, Bishop's Stortford CM23 5HX","Dunmow Road, Bishop's Stortford, Hertfordshire, CM23 5HX",51.8713916,0.172648607,Mixed (11 to 18). Mixed sixth form,"GBP 14,394–18,042","GBP 15,500",Good,Co-educational,854,www.hockerill.com,,1,0,0,1,1,0,0,1,1
94,94,Headington School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82302/table/33/headington-school,Oxford,,23.7,59.9,84,80,80.9,66,Private,"Headington School is a leading day and boarding school for girls aged three to 18. Set in 23 acres just a mile from Oxford city centre, facilities include a ...","Headington Rd, Headington, Oxford OX3 7TD","Headington Road, Oxford, OX3 7TD",51.7571475,-1.223598522,Girls (3 to 18),,,,,"1,282 (3-18)",www.headington.org,"Day K &pound 6,210 - K &pound 6,760 (11-18) includes lunch","Boarding K &pound 8,445 - K &pound 13,655 (11-18)",0,1,0,0,6760,20280,1,1
95,95,The Maynard School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82605/table/33/the-maynard-school,Exeter,,19.6,59.6,80.1,107,67.2,136=,Private,"The Maynard School is an independent and selective day school for girls aged 4–18 in the city of Exeter in Devon. ... Founded in 1658, the school is the second ...","Denmark Rd, Exeter EX1 1SJ","Denmark Road, Exeter, Devon, EX1 1SJ",50.7224641,-3.520972102,Girls (4 to 18),,,,,446 (4-18),www.maynard.co.uk,"Day K &pound 4,910 (10-18)",,0,1,0,0,4910,14730,1,
96,96,Surbiton High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82602/table/33/surbiton-high-school,Kingston upon Thames,,22.4,59.2,88.3,55,74.9,84,Private,"Surbiton High School is a private independent school in Surbiton in the Royal Borough of Kingston upon Thames, Greater London, England.","13 - 15 Surbiton Cres, Kingston upon Thames KT1 2JT","13-15 Surbiton Crescent, Kingston upon Thames, Surrey, KT1 2JT",51.39920085,-0.304120022,"Girls, separate boys' and girls' prep schools (4 to 18)",,,,,"1,065 (11-18)",www.surbitonhigh.com,"Day K &pound 6,340 - K &pound 6,430 (11-18)",,0,1,0,0,6430,19290,1,
97,97,Kendrick School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83680/table/34/kendrick-school,Reading,Selective (100%),22.5,59.1,83,26,87,8,State,"Kendrick School is a selective girls' grammar school situated in the centre of Reading, Berkshire, UK. In February 2011, Kendrick became an Academy.","41-43 London Rd, Reading RG1 5BN","London Road, Reading, Berkshire, RG1 5BN",51.4515324,-0.964824741,Girls (11 to 18),,,,,803,www.kendrick.reading.sch.uk,,,0,1,0,0,0,0,1,
98,98,Mayfield School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82329/table/33/mayfield-school,Mayfield,,20.9,58.8,79.1,116,70.6,108=,Private,Our students had a fantastic time eating the lovely food and socalising with each other. The visit also offered the opportunity to see what Lakes College i...,"The Old Palace, Mayfield, East Sussex, England","The Old Palace, Mayfield, East Sussex, TN20 6PH",50.82079695,-1.069924093,Girls (11 to 18),,,,,403 (11-18),www.mayfieldgirls.org,"Day K &pound 7,750 (11-18) includes lunch","Boarding K &pound Contact school - K &pound 12,250 (11-18)",0,1,0,0,7750,23250,1,1
99,99,Badminton School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82570/table/33/badminton-school,Bristol,,24.9,58.7,81.4,93=,82.4,60,Private,"Badminton School is an independent, boarding and day school for girls aged 3 to 18 years situated in Westbury-on-Trym, Bristol, England.","Westbury Rd, Bristol BS9 3BA","Westbury Road, Westbury-on-Trym, Bristol, BS9 3BA",51.48554095,-2.617640794,Girls (3 to 18),,,,,544 (3-18),www.badmintonschool.co.uk,"Day K &pound 5,810 (11-18) includes lunch","Boarding K &pound 10,900 - K &pound 11,565 (11-18)",0,1,0,0,5810,17430,1,1
100,100,Lumen Christi College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83685/table/34/lumen-christi-college,Derry,Selective (100%),20,58.4,85.9,15,73.7,37,State,"Founded in September 1997, Lumen Christi is a co-educational Catholic grammar school, open to students of all faiths, respectful of all religious beliefs. Derry ...","Bishop St, Derry, Londonderry BT48 6UJ","Bishop Street, Derry, Co Londonderry, BT48 6UJ",54.9906636,-7.330914758,Mixed (11 to 18). Mixed sixth form,,,,,840,www.lumenchristicollege.co.uk,,,0,0,1,1,0,0,1,
101,101,Exeter School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82516/table/33/exeter-school,Exeter,,23.4,58.4,84.9,77,77,76,Private,"Exeter School is an independent co-educational day school for pupils between the ages of 7 and 18 in Exeter, Devon, England. In 2019, there were around 200 ...","Victoria Park Rd, Exeter EX2 4NS","Victoria Park Road, Exeter, Devon, EX2 4NS",50.71858695,-3.511959999,Mixed (7 to 18). Mixed sixth form,"GBP 8,976–14,700","GBP 12,500",Excellent,Co-educational,938 (7-18),www.exeterschool.org.uk,"Day K &pound 4,675 (11-18)",,0,0,1,1,4675,14025,1,
102,102,"The Latymer School, Edmonton",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83676/table/34/the-latymer-school-edmonton,London,Selective (100%),22.4,58.4,84.6,21,83.4,17,State,"The Latymer School is a selective, mixed grammar school in Edmonton, London, England, established in 1624 by Edward Latymer. According to league tables, ...","Latymer Secondary School, Haselbury Rd, London N9 9TN","Haselbury Road, Edmonton, London, N9 9TN",51.6256819,-0.07559387,Mixed (11 to 18). Mixed sixth form,,,,,"1,384",www.latymer.co.uk,,,0,0,1,1,0,0,1,
103,103,The Grange School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82554/table/33/the-grange-school,Northwich,,17.8,58.1,82.8,84,72.1,101,Private,"Students spend the day looking at how to apply their skills in a professional environment, helping to embed their learning and encouraging them to think about ...","Bradburns Lane, Hartford
Northwich, Cheshire, England","Bradburns Lane, Hartford, Northwich, Cheshire, CW8 1LU",53.24882016,-2.54412263,Mixed (4 to 18). Mixed sixth form,,,,,"1,025 (4-18)",www.grange.org.uk,"Day K &pound 4,010 (11-18)",,0,0,1,1,4010,12030,1,
104,104,Oundle School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82212/table/33/oundle-school,Peterborough,,20.8,58.1,82.1,89,81.4,63=,Private,"Oundle School is a public school (English independent day and boarding school) for pupils 11–18 situated in the market town of Oundle in Northamptonshire, ...","Church St, Oundle, Peterborough PE8 4EE","The Great Hall, New Street, Peterborough, Northamptonshire, PE8 4GH",52.48218,0.4691,Mixed (4 to 18). Mixed sixth form,,,,,"1,104 (11-18)",www.oundleschool.org.uk,"Day K &pound 6,385 - K &pound 8,395 (11-18) includes lunch","Boarding K &pound 9,960 - K &pound 13,105 (11-18)",0,0,1,1,8395,25185,1,1
105,105,Altrincham Grammar School for Boys,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83738/table/34/altrincham-grammar-school-for-boys,Altrincham,Selective (100%),24.7,58.1,80.9,30,76.4,29=,State,"Altrincham Grammar School for Boys is a boys' grammar school in Altrincham, Greater Manchester, England. Altrincham Grammar School for Boys.","Marlborough Rd, Bowdon, Hale, Altrincham WA14 2RS","Marlborough Road, Bowdon, Altrincham, Cheshire, WA14 2RS",53.37562065,-2.349404814,Boys (11 to 18),,,,,"1,317",www.agsb.co.uk,,,1,0,0,0,0,0,1,
106,106,"The Blue Coat School, Liverpool",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83731/table/34/the-blue-coat-school-liverpool,Liverpool,Selective (100%),19.9,57.8,82.3,27,78.2,24,State,"The Liverpool Blue Coat School is a grammar school in Wavertree, Liverpool, England. It was founded in 1708 by Bryan Blundell and the Reverend Robert Styth ...","Church Rd, Liverpool L15 9EE","Church Road, Wavertree, Liverpool, Merseyside, L15 9EE",53.39320325,-2.916253228,Mixed (11 to 18). Mixed sixth form,,,,,"1,198",www.bluecoatschoolliverpool.org.uk,,,0,0,1,1,0,0,1,
107,107,Benenden School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82517/table/33/benenden-school,Cranbrook,,24.4,57.3,81.7,91,79.7,68=,Private,"Benenden School is an independent boarding school for girls in Kent, England, in Hemsted Park at Benenden, between Cranbrook and Tenterden.","Benenden, Cranbrook TN17 4AA","Cranbrook, Kent, TN17 4AA",51.0872125,0.618978,Girls (11 to 18),"GBP 32,649–32,649","GBP 32,500",Excellent,All girls,534 (11-18),www.benenden.kent.sch.uk,"Day K &pound 10,219 (11-18)","Boarding K &pound 13,616 (11-18)",0,1,0,0,10219,30657,1,1
108,108,"The King's School, Canterbury",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82314/table/33/the-kings-school-canterbury,Canterbury,,22.2,57.1,81.2,96=,70.3,112,Private,"The King's School fees for boarding and day pupils for the current academic year. ... Day: (Sixth Form) £9,670 per term. School fees are reviewed annually.","25 The Precincts, Canterbury CT1 2ES","Lattergate Office, 25 The Precincts, Canterbury, Kent, CT1 2ES",51.2813161,1.082784122,Mixed (3 to 18). Mixed sixth form,,,,,903 (13-18),www.kings-school.co.uk,"Day K &pound 8,375 - K &pound 9,300 (13-18) includes lunch","Boarding K &pound 13,285 (13-18)",0,0,1,1,9300,27900,1,1
109,109,Windermere School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/81974/table/33/windermere-school,Windermere,,14.7,56.7,84.5,79,49.1,246=,Private,"Windermere School is an independent, coeducational boarding and day school in the English Lake District. Founded in 1863, it has approximately 360 pupils ...","Patterdale Road, Windermere, The Lake District, , England","Patterdale Road, Windermere, Lake District, LA23 1NW",54.3931058,-2.913521787,Mixed (3 to 18). Mixed sixth form,"GBP 8,520–14,460","GBP 12,500",Excellent,Co-educational,361 (3-18),www.windermereschool.co.uk,"Day K &pound 5,620 - K &pound 6,350 (11-18) includes lunch","Boarding K &pound 9,370 - K &pound 11,105 (11-18)",0,0,1,1,6350,19050,1,1
110,110,Colchester County High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83682/table/34/colchester-county-high-school-for-girls,Colchester,Selective (100%),23.3,56.6,83.9,25,89.8,4,State,,"Norman Way, Colchester CO3 3US","Norman Way, Colchester, Essex, CO3 3US",51.88467765,0.875971013,Girls (11 to 18),,,,,"1,097",www.cchsg.com,,,0,1,0,0,0,0,1,
111,111,The Queen's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82352/table/33/the-queens-school,Chester,,19.2,56.4,85.5,75,67.7,134=,Private,"Welcome to The Queen's School website, which will give you an insight into our wonderful school. Here you can learn about our curriculum, our academic ...","Aldenham Road, Bushey, Hertfordshire, England","City Walls Road, Chester, Cheshire, CH1 2NN",53.20217575,-2.895895689,Girls (4 to 18),,,,,338 (4-18),www.queens.cheshire.sch.uk,"Day K &pound 4,805 (11-18)",,0,1,0,0,4805,14415,1,
112,112,Nonsuch High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83692/table/34/nonsuch-high-school-for-girls,Cheam,Selective (100%),19.6,56,80.5,33,84.2,15,State,"Nonsuch High School is an all-girls' grammar school with an academy status, located in Cheam, in the borough of Epsom and Ewell in Surrey, England, ...","Ewell Rd, Sutton SM3 8AB","Ewell Road, Cheam, Surrey, SM3 8AB",51.35426825,-0.224795771,Girls (11 to 18),,,,,"1,506",www.nonsuchschool.org,,,0,1,0,0,0,0,1,
113,113,Marlborough College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82432/table/33/marlborough-college,Marlborough,,18.5,55.9,80.8,101,69.8,115,Private,"Marlborough College is a public school (English independent boarding school) for pupils aged 13 to 18 in Marlborough, Wiltshire, England.","Bath Rd, Marlborough SN8 1PA","Bath Road, Marlborough, Wiltshire, SN8 1PA",51.41559935,-1.743646595,Mixed (13 to 18). Mixed sixth form,"GBP 42,930–42,930","GBP 43,000",Excellent,Co-educational,"1,014 (13-18)",www.marlboroughcollege.org,"Day K &pound 11,317 (13-18) includes lunch","Boarding K &pound 13,310 (13-18)",0,0,1,1,11317,33951,1,1
114,114,Farnborough Hill,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82541/table/33/farnborough-hill,Farnborough,,15.7,55.8,82.2,86=,59.2,185=,Private,"Farnborough Hill is a Roman Catholic independent day school for 550 girls aged 11–18 located in Farnborough, Hampshire. The school was established by the ...","312 Farnborough Rd, Farnborough GU14 8AT","Farnborough, Hampshire, GU14 8AT",51.30072025,-0.749259794,Girls (11 to 18),,,,,570 (11-18),www.farnborough-hill.org.uk,"Day K &pound 5,253 (11-18)",,0,1,0,0,5253,15759,1,
115,115,d'Overbroeck's College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82373/table/33/doverbroecks-college,Oxford,,22.8,55.6,82.5,85,59,187=,Private,"d'Overbroeck's is a leading independent school in Oxford, UK, offering an exceptional academic and extra-curricular programme. We teach students aged 11-18 ...","333 Banbury Rd, Oxford OX2 7PL","Leckford Road, Oxford, OX2 6HX",51.78253361,-1.267434717,Mixed (11 to 18). Mixed sixth form,,,,,664 (11-18),www.doverbroecks.com,"Day K &pound 6,325 - K &pound 8,300 (11-18)","Boarding K &pound 12,800 - K &pound 15,100 (16-18)",0,0,1,1,8300,24900,1,1
116,116,Sutton Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83698/table/34/sutton-grammar-school,Sutton,Selective (100%),21.8,55.6,80.8,31,78.8,22,State,"25 Feb 2021 — 6 Best Sutton Grammar Schools ; Manor Lane, Sutton, Surrey, SM1-4AS · www.suttongrammar.sutton.sch.uk · 020 8642 3821 ; Croydon Road, Wallington, ...","Manor Ln, Sutton SM1 4AS","Manor Lane, Sutton, Surrey, SM1 4AS",51.3643834,-0.189706461,Boys (11 to 18). Mixed sixth form,,,,,"1,022",www.suttongrammar.sutton.sch.uk,,,1,0,1,0,0,0,1,
117,117,Churcher's College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82549/table/33/churchers-college,Petersfield,,21.7,55.5,83.8,81=,67.1,138,Private,,"Ramshill, Petersfield & Liphook, Hampshire, United Kingdom","Ramshill, Petersfield, Hampshire, GU31 4AS",51.00905685,-0.926773591,Mixed (3 to 18). Mixed sixth form,,,,,"1,237 (2-18)",www.churcherscollege.com,"Day K &pound 5,480 (11-18)",,0,0,1,1,5480,16440,1,
118,118,Shrewsbury School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82310/table/33/shrewsbury-school,Shrewsbury,,20.9,55.5,76.4,143=,65.1,149,Private,Shrewsbury School is a public school (English independent boarding school for pupils aged 13 –18) in Shrewsbury. Shrewsbury School King Edward VI School at ...,"Ashton Rd, Shrewsbury SY3 7BA","The Schools, Shrewsbury, Shropshire, SY3 7BA",52.7049143,-2.766667644,Mixed (13 to 18). Mixed sixth form,"GBP 29,445–29,445","GBP 29,500",Excellent,Co-educational,818 (13-18),www.shrewsbury.org.uk,"Day K &pound 8,805 - K &pound 9,280 (13-18) includes lunch","Boarding K &pound 12,835 - K &pound 13,305 (13-18)",0,0,1,1,9280,27840,1,1
119,119,Roedean School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82244/table/33/roedean-school,Brighton,,22.5,55.1,79.2,114=,70.8,106,Private,"Roedean School is an independent day and boarding school founded in 1885 in Roedean Village on the outskirts of Brighton, East Sussex, England, and governed ...","Roedean Way, Brighton BN2 5RQ","Roedean Way, Brighton, East Sussex, BN2 5RQ",50.81073065,-0.082532659,Girls (11 to 18),"GBP 18,870–24,660","GBP 23,000",Excellent,All girls,676 (11-18),www.roedean.co.uk,"Day K &pound 5,990 - K &pound 7,830 (11-18)","Boarding K &pound 8,610 - K &pound 14,045 (11-18)",0,1,0,0,7830,23490,1,1
120,120,King Edward VI School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82491/table/33/king-edward-vi-school,Southampton,,-,54.9,83.8,81=,75.2,83,Private,King Edward VI School has been focused on providing world class education for nearly 500 years and mixes a strong history of academic excellence with a deep ...,", Southampton, Hampshire, England","Wilton Road, Southampton, SO15 5UQ",50.92254615,-1.416785624,Mixed (11 to 18). Mixed sixth form,,,,,964 (11-18),www.kes.hants.sch.uk,"Day K &pound 5,877 (11-18)",,0,0,1,1,5877,17631,1,
121,121,"Francis Holland School, Regent's Park",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82542/table/33/francis-holland-school-regents-park,London,,20.7,54.9,76.7,139,78.6,72,Private,"The Francis Holland Schools comprises three leading independent girls' schools in two central London locations. ... Francis Holland School, Regent's Park.","Ivor Pl, London NW1 6XR","Ivor Place, Marylebone, London, NW1 6XR",51.4917,0.1539,Girls (11 to 18),,,,,509 (11-18),www.fhs-nw1.org.uk,"Day K &pound 7,150 (11-18) includes lunch",,0,1,0,0,7150,21450,1,
122,122,"Our Lady and St Patrick's College, Knock",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83810/table/34/our-lady-and-st-patricks-college-knock,Belfast,Selective (100%),16.9,54.6,84,24,68.3,58,State,"Our Lady and St Patrick's College, Knock, known locally as Knock or OLSPCK, is a Catholic diocesan grammar school in Knock in the east of Belfast in ...","120 Gilnahirk Rd, Belfast BT5 7DL","120 Gilnahirk Road, Belfast, BT5 7DL",54.58784749,-5.833622673,Mixed (11 to 18). Mixed sixth form,,,,,"1,276",www.knock.co.uk,,,0,0,1,1,0,0,1,
123,123,Dr Challoner's Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83717/table/34/dr-challoners-grammar-school,Amersham,Selective (100%),23.3,54.3,79.4,36=,69.3,52=,State,"Dr Challoner's Grammar School is a selective grammar school for boys, with a co-educational Sixth Form, in Amersham, Buckinghamshire, England.","Chesham Rd, Amersham HP6 5HA","Chesham Road, Amersham, Buckinghamshire, HP6 5HA",51.6767879,-0.611349705,Boys (11 to 18). Mixed sixth form,,,,,"1,363",www.challoners.com,,,1,0,1,0,0,0,1,
124,124,Bishop's Stortford College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82269/table/33/bishops-stortford-college,Bishop's Stortford,,19.7,54.2,82.2,86=,69.6,118=,Private,"Bishop's Stortford College is a independent day and boarding school in the English public school tradition for more than 1,200 pupils aged 4–18, situated in ...","School House, Maze Green Rd, Bishop's Stortford CM23 2PQ","Maze Green Road, Bishop's Stortford, Hertfordshire, CM23 2PQ",51.8709186,0.14931536,Mixed (4 to 18). Mixed sixth form,,,,,583 (13-18),www.bishops-stortford-college.herts.sch.uk,"Day K &pound 6,970 - K &pound 7,032 (13-18) includes lunch","Boarding K &pound 8,838 - K &pound 11,433 (13-18)",0,0,1,1,7032,21096,1,1
125,125,Queen's Gate School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82335/table/33/queens-gate-school,London,,20,53.8,79.6,109=,74.5,88=,Private,"We are a small, thriving family of children, parents, staff and governors working together to provide a fantastic school for our community. At Queensgate, we ...","131-133 Queen's Gate, South Kensington, London SW7 5LE","131-133 Queen's Gate, South Kensington, London, SW7 5LE",51.49480815,-0.178506689,Girls (4 to 18),,,,,508 (4-18),www.queensgate.org.uk,"Day K &pound 7,410 (11-18)",,0,1,0,0,7410,22230,1,
126,126,"St Michael's RC Grammar School, Finchley",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83696/table/34/st-michaels-rc-grammar-school-finchley,London,Selective (100%),17.4,53.7,84.4,22,80.8,20,State,,"Nether St, London N12 7NJ","Nether Street, North Finchley, London, N12 7NJ",51.6144,0.1805,Girls (11 to 18). Mixed sixth form,,,,,811,www.st-michaels.barnet.sch.uk,,,0,1,1,0,0,0,1,
127,127,Yavneh College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83806/table/34/yavneh-college,Borehamwood,Comprehensive,20.3,53.6,85.5,18,44.9,158=,State,"Yavneh College is a co-educational, Jewish, secondary and sixth form school. A comprehensive with five-form entry for ages 11–18 yrs, it is part of the ...","Hillside Ave, Borehamwood WD6 1HL","Hillside Avenue, Borehamwood, Hertfordshire, WD6 1HL",51.6531406,-0.265386414,Mixed (11 to 18). Mixed sixth form,,,,,"1,054",www.yavnehcollege.org,,,0,0,1,1,0,0,1,
128,128,Warwick School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82591/table/33/warwick-school,Warwick,,20.4,53.6,78.5,122=,74.5,88=,Private,"Warwick School is a selective, independent day and boarding school in Warwick, England in the public school tradition.","Myton Rd, Warwick CV34 6PP","Myton Road, Warwick, CV34 6PP",52.27759055,-1.57227907,Boys (7 to 18),"GBP 12,957–15,216","GBP 14,500",Excellent,All boys,"1,219 (7-18)",www.warwickschool.org,"Day K &pound 4,779 (11-18)","Boarding K &pound 10,752 - K &pound 11,525 (13-18)",1,0,0,0,4779,14337,1,1
129,129,St Peter's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82611/table/33/st-peters-school,York,,19.5,53.5,81.4,93=,70,113=,Private,"A co-educational independent boarding and day school, in the UK. The fourth oldest school in the world, founded by St Paulinus of York in AD 627.","St Peter's, Clifton
York, North Yorkshire, England","Clifton, York, YO30 6AB",53.9663396,-1.094250893,Mixed (2 to 18). Mixed sixth form,"GBP 8,580–14,625","GBP 12,000",Excellent,Co-educational,582 (13-18),www.st-peters.york.sch.uk,"Day K &pound 6,490 - K &pound 6,460 (13-18) includes lunch","Boarding K &pound 9,195 - K &pound 10,670 (13-18)",0,0,1,1,6460,19380,1,1
130,130,Bristol Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82569/table/33/bristol-grammar-school,Bristol,,21.1,53.1,78.5,122=,64.5,153,Private,"Bristol Grammar School (BGS) is a 4–18 mixed, independent day school in Bristol, England. It was founded in 1532 by Royal Charter for the teaching of 'good ...","University Rd, Bristol BS8 1SR","University Road, Bristol, BS8 1SR",51.4423447,-2.678030448,Mixed (4 to 18). Mixed sixth form,,,,,"1,010 (4-18)",www.bristolgrammarschool.co.uk,"Day K &pound 5,159 (11-18) includes lunch 11-16",,0,0,1,1,5159,15477,1,
131,131,Queen Elizabeth's Hospital,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82210/table/33/queen-elizabeths-hospital,Bristol,,21.7,52.9,81.1,99,66.1,144,Private,"Queen Elizabeth's Hospital (also known as QEH) is an independent day school in Clifton, Bristol, England, founded in 1586. QEH is named after its original ...","Stadium Rd, London SE18 4QH","Berkeley Place, Clifton, Bristol, BS8 1JX",51.4546058,-2.609082241,Boys (7 to 18). Mixed sixth form,,,,,782 (7-18),www.qehbristol.co.uk,"Day K &pound 5,100 (11-18)",,1,0,1,0,5100,15300,1,
132,132,Ibstock Place School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82478/table/33/ibstock-place-school,Roehampton,,19.6,52.6,81.4,93=,79.7,68=,Private,"Ibstock Place School is an independent co-educational day school for pupils aged 4–18 located in Roehampton, southwest London. It was founded as the Froebel ...","Clarence Ln, London SW15 5PY","Clarence Lane, Roehampton, Roehampton, SW15 5PY",51.4557048,-0.249552913,Mixed (4 to 18). Mixed sixth form,"GBP 17,610–22,350","GBP 20,000",Excellent,Co-educational,981 (4-18),www.ibstockplaceschool.co.uk,"Day K &pound 7,450 (11-18) includes lunch",,0,0,1,1,7450,22350,1,
133,133,King Edward VI Camp Hill School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83691/table/34/king-edward-vi-camp-hill-school-for-girls,Birmingham,Selective (100%),18,52.5,82,29,85.9,13,State,"The school is for girls aged 11 to 18 and is based in beautiful grounds on Vicarage Road, Kings Heath. Although the school shares a campus with Camp Hill Boys' ...","Vicarage Rd, King's Heath, Birmingham B14 7QJ","Vicarage Road, Kings Heath, Birmingham, B14 7QJ",52.4310368,-1.903001,Girls (11 to 18),,,,,"1,102",www.kechg.org.uk,,,0,1,0,0,0,0,1,
